Country,date,coicop,value,diff
AT,Dec-21,"Water, electricity, gas and other fuels",0.3303668737688237,-1.185407289277953
AT,Jan-22,"Alcoholic beverages, tobacco and narcotics",0.0127363190675546,-1.223569621765091
AT,Jan-22,Clothing and footwear,0.0096662151445671,-1.223569621765091
AT,Jan-22,Food and non-alcoholic beverages,0.1737823935047641,-1.223569621765091
AT,Jan-22,Housing (rentals and repairs),-0.2493716924265366,-1.223569621765091
AT,Jan-22,Other,-0.6200886669829287,-1.223569621765091
AT,Jan-22,Transport,-0.8936390974138783,-1.223569621765091
AT,Jan-22,"Water, electricity, gas and other fuels",0.3433449073413672,-1.223569621765091
AT,Feb-22,"Alcoholic beverages, tobacco and narcotics",0.0111044793749061,-1.202192586969068
AT,Feb-22,Clothing and footwear,-0.0968131261765374,-1.202192586969068
AT,Feb-22,Food and non-alcoholic beverages,0.1530699214556889,-1.202192586969068
AT,Feb-22,Housing (rentals and repairs),-0.2417170419486178,-1.202192586969068
AT,Feb-22,Other,-0.6218129555494754,-1.202192586969068
AT,Feb-22,Transport,-0.9430030561153264,-1.202192586969068
AT,Feb-22,"Water, electricity, gas and other fuels",0.5369791919902918,-1.202192586969068
AT,Mar-22,"Alcoholic beverages, tobacco and narcotics",0.0134596556759435,-1.470934042847396
AT,Mar-22,Clothing and footwear,0.0137033125821245,-1.470934042847396
AT,Mar-22,Food and non-alcoholic beverages,0.2101477065548993,-1.470934042847396
AT,Mar-22,Housing (rentals and repairs),-0.225286389710519,-1.470934042847396
AT,Mar-22,Other,-0.8456958825494231,-1.470934042847396
AT,Mar-22,Transport,-1.28729917832742,-1.470934042847396
AT,Mar-22,"Water, electricity, gas and other fuels",0.6500367329270026,-1.470934042847396
AT,Apr-22,"Alcoholic beverages, tobacco and narcotics",0.032623163370825,-0.8011297534622219
AT,Apr-22,Clothing and footwear,-0.0102534435507366,-0.8011297534622219
AT,Apr-22,Food and non-alcoholic beverages,0.2933688885159124,-0.8011297534622219
AT,Apr-22,Housing (rentals and repairs),-0.2027487730017272,-0.8011297534622219
AT,Apr-22,Other,-0.2938717649051524,-0.8011297534622219
AT,Apr-22,Transport,-1.284419098164357,-0.8011297534622219
AT,Apr-22,"Water, electricity, gas and other fuels",0.6641712742730157,-0.8011297534622219
AT,May-22,"Alcoholic beverages, tobacco and narcotics",0.0424645443744674,-1.030656379038033
